ArbitraryID,Status,Flesch reading ease version of record,Publishing version,Workdays in progress,Total number of pub team requests,Pub team request types
115,🔔 Published 🔔,10.00%,v2.0,25,1,Figure cleanup
119,🔔 Published 🔔,32.00%,v2.0,19,3,Original figures;Quick read-through for flow and clarity;Quick read-through for flow and clarity
120,🔔 Published 🔔,38.60%,v2.0,16,2,Thorough editing;Original figures
106,🔔 Published 🔔,15.60%,v2.0,73,3,Figure cleanup;Original figures;Quick read-through for flow and clarity
107,🔔 Published 🔔,15.00%,v2.0,59,2,Basic copyediting;Other
111,🔔 Published 🔔,23.80%,v2.0,24,2,Original figures;Quick read-through for flow and clarity
112,🔔 Published 🔔,23.80%,v2.0,12,1,Quick read-through for flow and clarity
113,🔔 Published 🔔,27.20%,v2.0,12,1,Quick read-through for flow and clarity
110,🔔 Published 🔔,13.50%,v2.0,23,2,Original figures;Figure cleanup
93,🔔 Published 🔔,32.40%,v2.0,70,1,Figure cleanup
109,🔔 Published 🔔,26.20%,v2.0,25,1,Figure cleanup
101,🔔 Published 🔔,27.80%,v2.0,25,3,Figure cleanup;Basic copyediting;Basic copyediting
5,🔔 Published 🔔,33.30%,v2.0,78,2,Thorough editing;Figure cleanup
89,🔔 Published 🔔,37.80%,v2.0,59,4,Pub strategy session;Original figures;Figure cleanup;Quick read-through for flow and clarity
103,🔔 Published 🔔,27.60%,v2.0,9,0,
86,🔔 Published 🔔,27.50%,v2.0,139,3,Figure cleanup;Thorough editing;Figure cleanup
87,🔔 Published 🔔,35.60%,v2.0,40,5,Quick read-through for flow and clarity;Quick read-through for flow and clarity;Engagement strategy session;Quick read-through for flow and clarity;Figure cleanup
88,🔔 Published 🔔,25.80%,v2.0,39,0,
79,🔔 Published 🔔,39.60%,v2.0,103,3,Technical consultation;Figure cleanup;Basic copyediting
84,🔔 Published 🔔,21.20%,v2.0,47,1,Graphical abstract (or other elaborate illustration)
75,🔔 Published 🔔,16.20%,v2.0,129,1,Figure cleanup
74,🔔 Published 🔔,34.70%,v2.0,135,2,First-time pub onboarding;Figure cleanup
